web-scraper-order,web-scraper-start-url,selector_lapin_pigeon,selector_lapin_pigeon-href,nom,prix,adresse,image
"1737923457-1","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux Angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729692","Lapins et lapereaux Angora Californien","Prix sur demande","Medina, Dakar, Sénégal",""
"1737923475-2","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-729710","Poulet de chair","3 000 CFA","Grand Yoff, Dakar, Sénégal",""
"1737923483-3","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins et lapereaux angora Californien","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-et-lapereaux-angora-californien-729715","Lapins et lapereaux angora Californien","Prix sur demande","Médina, Dakar, Sénégal",""
"1737923493-4","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin géant","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-geant-761183","Lapin géant","70 000 CFA","Mbour, Sénégal",""
"1737923501-5","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapins","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapins-774940","Lapins","40 000 CFA","Dakar, Sénégal",""
"1737923510-6","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Poulet de chair","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/poulet-de-chair-798654","Poulet de chair","2 000 CFA","Guediawaye, Dakar, Sénégal",""
"1737923518-7","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coqs Brahmane","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coqs-brahmane-841858","Coqs Brahmane","5 000 CFA","Thies Ouest, Thiès, Sénégal",""
"1737923527-8","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Lapin Buchka","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/lapin-buchka-848961","Lapin Buchka","7 000 CFA","Yoff, Dakar, Sénégal",""
"1737923537-9","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Coq et poussins bleus","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/coq-et-poussins-bleus-855420","Coq et poussins bleus","15 000 CFA","Sénégal",""
"1737923544-10","https://sn.coinafrique.com/categorie/poules-lapins-et-pigeons?page=10","Race bleu d' hollande","https://sn.coinafrique.com/annonce/poules-lapins-et-pigeons/race-bleu-d-hollande-858710","Race bleu d' hollande","800 CFA","Sénégal",""
