web-scraper-order,web-scraper-start-url,selector_moutons,selector_moutons-href,nom,prix,adresse,image
"1737905082-1","https://sn.coinafrique.com/categorie/moutons?page=14","Bali bali","https://sn.coinafrique.com/annonce/moutons/bali-bali-1568450","Bali bali","300 000 CFA","Koumpentoum, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1568450_uploaded_image1_1580419421.87.png)"
"1737905104-2","https://sn.coinafrique.com/categorie/moutons?page=14","Ladoum","https://sn.coinafrique.com/annonce/moutons/ladoum-1569276","Ladoum","2 000 000 CFA","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1569276_uploaded_image1_1580439784.74.png)"
"1737905116-3","https://sn.coinafrique.com/categorie/moutons?page=14","Brebis","https://sn.coinafrique.com/annonce/moutons/brebis-1584173","Brebis","Prix sur demande","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1584173_uploaded_image2_1580715083.79.png)"
"1737905125-4","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1594060","Mouton ladoum","700 000 CFA","Grand Yoff, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1594060_uploaded_image1_1580838107.76.png)"
"1737905137-5","https://sn.coinafrique.com/categorie/moutons?page=14","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-1595649","Moutons","400 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1595649_uploaded_image1_1580860268.71.png)"
"1737905144-6","https://sn.coinafrique.com/categorie/moutons?page=14","Femelle ladoum","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599357","Femelle ladoum","700 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1599357_uploaded_image1_1580914588.98.png)"
"1737905152-7","https://sn.coinafrique.com/categorie/moutons?page=14","Femelle ladoum","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599587","Femelle ladoum","700 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1599587_uploaded_image1_1580916817.7.png)"
"1737905166-8","https://sn.coinafrique.com/categorie/moutons?page=14","Femelle Ladoum","https://sn.coinafrique.com/annonce/moutons/femelle-ladoum-1599640","Femelle Ladoum","700 000 CFA","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1599640_uploaded_image1_1580917148.36.png)"
"1737905174-9","https://sn.coinafrique.com/categorie/moutons?page=14","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-1618881","Moutons","Prix sur demande","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1618881_uploaded_image1_1581221831.16.png)"
"1737905183-10","https://sn.coinafrique.com/categorie/moutons?page=14","Lots  de ladoum","https://sn.coinafrique.com/annonce/moutons/lots-de-ladoum-1634438","Lots  de ladoum","1 600 000 CFA","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1634438_uploaded_image1_1581445535.38.png)"
"1737905189-11","https://sn.coinafrique.com/categorie/moutons?page=14","Agnel Ladoum","https://sn.coinafrique.com/annonce/moutons/agnel-ladoum-1644447","Agnel Ladoum","350 000 CFA","Rufisque, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1644447_uploaded_image1_1581598949.87.png)"
"1737905198-12","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton Géniteur","https://sn.coinafrique.com/annonce/moutons/mouton-geniteur-1655632","Mouton Géniteur","Prix sur demande","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1655632_uploaded_image1_1581790027.94.png)"
"1737905205-13","https://sn.coinafrique.com/categorie/moutons?page=14","Femelle Baine Mélo","https://sn.coinafrique.com/annonce/moutons/femelle-baine-melo-1660551","Femelle Baine Mélo","Prix sur demande","Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1660551_uploaded_image1_1581908728.72.png)"
"1737905214-14","https://sn.coinafrique.com/categorie/moutons?page=14","Métisse Azawat","https://sn.coinafrique.com/annonce/moutons/metisse-azawat-1689899","Métisse Azawat","180 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1689899_uploaded_image1_1582386569.78.png)"
"1737905220-15","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1705512","Mouton","Prix sur demande","HLM, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1705512_uploaded_image1_1582672344.35.png)"
"1737905230-16","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1710929","Mouton","Prix sur demande","Sénégal","background-image:url(https://images.coinafrique.com/thumb_1710929_uploaded_image1_1582758028.84.png)"
"1737905237-17","https://sn.coinafrique.com/categorie/moutons?page=14","Ladoum pur sang","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1712699","Ladoum pur sang","850 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1712699_uploaded_image1_1582797667.2.png)"
"1737905245-18","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1788990","Mouton","280 000 CFA","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1788990_uploaded_image1_1584108921.63.png)"
"1737905252-19","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1802901","Mouton","120 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1802901_uploaded_image1_1584375644.03.png)"
"1737905261-20","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1814464","Mouton","180 000 CFA","M'bour, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1814464_uploaded_image1_1584555845.45.png)"
"1737905269-21","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1817604","Mouton","350 CFA","Rufisque, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1817604_uploaded_image1_1584619772.78.png)"
"1737905277-22","https://sn.coinafrique.com/categorie/moutons?page=14","Ladoum","https://sn.coinafrique.com/annonce/moutons/ladoum-1823167","Ladoum","1 500 000 CFA","Ouakam, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1823167_uploaded_image1_1584704737.56.png)"
"1737905284-23","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1823834","Mouton Ladoum","400 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1823834_uploaded_image1_1584711324.24.png)"
"1737905294-24","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1830885","Mouton","95 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1830885_uploaded_image1_1584859590.65.png)"
"1737905301-25","https://sn.coinafrique.com/categorie/moutons?page=14","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-1838123","Moutons","85 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1838123_uploaded_image1_1584988683.06.png)"
"1737905310-26","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1843864","Mouton","1 500 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1843864_uploaded_image1_1585119964.75.png)"
"1737905317-27","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1843866","Mouton","400 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1843866_uploaded_image1_1585119994.59.png)"
"1737905326-28","https://sn.coinafrique.com/categorie/moutons?page=14","Petit mouton","https://sn.coinafrique.com/annonce/moutons/petit-mouton-1843870","Petit mouton","450 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1843870_uploaded_image1_1585120034.1.png)"
"1737905332-29","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1847816","Mouton","95 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1847816_uploaded_image1_1585163617.45.png)"
"1737905340-30","https://sn.coinafrique.com/categorie/moutons?page=14","Ladoum pur sang","https://sn.coinafrique.com/annonce/moutons/ladoum-pur-sang-1860713","Ladoum pur sang","Prix sur demande","Keur Massar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1860713_uploaded_image1_1585413193.66.png)"
"1737905348-31","https://sn.coinafrique.com/categorie/moutons?page=14","Moutons Toulabire","https://sn.coinafrique.com/annonce/moutons/moutons-toulabire-1863893","Moutons Toulabire","150 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1863893_uploaded_image1_1585491707.63.png)"
"1737905357-32","https://sn.coinafrique.com/categorie/moutons?page=14","Ladoum jeune femelle","https://sn.coinafrique.com/annonce/moutons/ladoum-jeune-femelle-1869297","Ladoum jeune femelle","Prix sur demande","Guediawaye, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1869297_uploaded_image1_1585585673.13.png)"
"1737905364-33","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1904199","Mouton","170 000 CFA","Dakar Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1904199_uploaded_image1_1586204493.61.png)"
"1737905373-34","https://sn.coinafrique.com/categorie/moutons?page=14","Moutons","https://sn.coinafrique.com/annonce/moutons/moutons-1905916","Moutons","350 000 CFA","Thies, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1905916_uploaded_image1_1586247542.22.png)"
"1737905379-35","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1909205","Mouton","300 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1909205_uploaded_image1_1586284053.48.png)"
"1737905387-36","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1909212","Mouton","200 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1909212_uploaded_image1_1586284198.32.png)"
"1737905393-37","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton Ladoum","https://sn.coinafrique.com/annonce/moutons/mouton-ladoum-1910059","Mouton Ladoum","185 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1910059_uploaded_image1_1586295543.6.png)"
"1737905400-38","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1913304","Mouton","250 000 CFA","Mbour, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1913304_uploaded_image1_1586356949.67.png)"
"1737905410-39","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton jeune mâle","https://sn.coinafrique.com/annonce/moutons/mouton-jeune-male-1920256","Mouton jeune mâle","130 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1920256_uploaded_image1_1586464326.22.png)"
"1737905421-40","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1920263","Mouton","110 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1920263_uploaded_image1_1586464422.3.png)"
"1737905428-41","https://sn.coinafrique.com/categorie/moutons?page=14","Mouton","https://sn.coinafrique.com/annonce/moutons/mouton-1943022","Mouton","175 000 CFA","Dakar-Plateau, Dakar, Sénégal","background-image:url(https://images.coinafrique.com/thumb_1943022_uploaded_image1_1586858471.81.png)"
