nom,prix,adresse,image
Perruches,303046.95945945947,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png)
Carpe Koï Japonaise ( Aquarium),50000.0,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png)
Perruches,303046.95945945947,Sénégal,https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png)
Poisson d'aquarium,35000.0,Sénégal,https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png)
Bœuf,400000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png)
Chèvre Balami,200000.0,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png)
Verrat de race Large white,200000.0,Sénégal,https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png)
Mouton ladoum pure sang,303046.95945945947,Sénégal,https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png)
Boeuf,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png)
Bœufs,350000.0,Sénégal,https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png)
Paon bleu,303046.95945945947,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png)
Perruches,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png)
Oiseaux exotiques,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png)
Perruches,303046.95945945947,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png)
Oies de guinée,303046.95945945947,"Thies, Sénégal",https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png)
Cheval,400000.0,"Fatick, Sénégal",https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png)
Cheval,400000.0,"Fatick, Sénégal",https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png)
Oies toulouse,303046.95945945947,"Fass, Dakar, Sénégal",https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png)
Vaches,275000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png)
Boeufs,750000.0,"Tambacounda, Sénégal",https://images.coinafrique.com/thumb_1544433_uploaded_image1_1580089804.86.png)
Bœuf,600000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1606230_uploaded_image1_1581008311.59.png)
Chat siamois,350000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1825906_uploaded_image2_1584739800.55.png)
Chat Siamois,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1899735_uploaded_image1_1586139854.78.png)
Perruches,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1934309_uploaded_image1_1586712626.03.png)
Chaton Persan,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1935403_uploaded_image1_1586726495.69.png)
Vaches,303046.95945945947,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_1935629_uploaded_image1_1586731094.02.png)
Bœufs,303046.95945945947,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_1954085_uploaded_image1_1587026162.65.jpeg)
Chaton,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_1962491_uploaded_image1_1587134135.76.jpeg)
Boeuf,475.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1998573_uploaded_image1_1587685670.89.jpeg)
Chaton persan chinchilla,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2025374_uploaded_image1_1588119661.jpg)
Chaton persan blanc,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2052355_uploaded_image1_1588568181.jpg)
Chèvre Race Boer,650000.0,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/thumb_2061898_uploaded_image1_1588694077.jpg)
Boeuf,303046.95945945947,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_2088141_uploaded_image1_1589099089.jpg)
Boeuf,303046.95945945947,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2101700_uploaded_image1_1589308300.jpg)
Bœuf élevage,750000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2147334_uploaded_image1_1590007941.jpg)
Boeufs,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2161624_uploaded_image1_1590236359.jpg)
Poussins brahman et cochin,303046.95945945947,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2230369_uploaded_image1_1591316836.jpg)
Boeufs,600000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_2239779_uploaded_image1_1591466346.jpg)
Chaton york chocolat,150000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2240976_uploaded_image1_1591487576.jpg)
Taureau Nélore,303046.95945945947,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2251055_uploaded_image1_1591656431.jpg)
Oies,1000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2275120_uploaded_image1_1591990153.jpg)
Vache,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2276153_uploaded_image1_1592008517.jpg)
Oies,130000.0,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_2281845_uploaded_image1_1592124037.jpg)
Perruches,303046.95945945947,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_2296024_uploaded_image1_1592332889.jpg)
Kittens / chatons,90000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_2319268_uploaded_image1_1592689460.jpg)
Dinde,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2351112_uploaded_image1_1593181120.jpg)
Couples Paons,250000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_2394305_uploaded_image2_1593898972.jpeg)
Souris blanc,303046.95945945947,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_2407511_uploaded_image1_1594131854.jpg)
Dindes,303046.95945945947,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2421638_uploaded_image1_1594369039.jpg)
Géniteur hollandais Holstein,1200000.0,"Mboro, Sénégal",https://images.coinafrique.com/thumb_2430101_uploaded_image1_1594560513.jpg)
Vaches hollandaises,303046.95945945947,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_2434087_uploaded_image1_1594647765.jpg)
Oies,80000.0,"Diourbel, Sénégal",https://images.coinafrique.com/thumb_2550824_uploaded_image1_1597673774.jpg)
Vaches laitières,2000000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_2687649_uploaded_image1_1602441772.jpg)
Canard,35000.0,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_2703622_uploaded_image1_1603049550.jpg)
Dinde d'amérique,303046.95945945947,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_2735977_uploaded_image1_1604436594.jpg)
Chaton Angora Turc,100000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_2826620_uploaded_image1_1607777038.jpg)
Vache,550000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_2846588_uploaded_image1_1608636321.jpg)
Chaton angora,130000.0,"Fann, Dakar, Sénégal",https://images.coinafrique.com/thumb_2851191_uploaded_image1_1608834265.jpg)
Veau,250000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_2856538_uploaded_image1_1609162542.jpg)
Chatons,303046.95945945947,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2860327_uploaded_image1_1609342553.jpg)
Canard Colvert,50000.0,"Thies, Sénégal",https://images.coinafrique.com/thumb_2876451_uploaded_image1_1610052488.jpg)
Chaton noir blanc,303046.95945945947,"Mamelles, Dakar, Sénégal",https://images.coinafrique.com/thumb_2886750_uploaded_image1_1610486302.jpg)
Chaton Angora turque,160000.0,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_2966724_uploaded_image1_1614082274.jpg)
Bœuf,425000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_3012014_uploaded_image1_1616250290.jpg)
Oie adulte,80000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3025291_uploaded_image1_1616933629.jpg)
Taureau géniteur laitier,2000000.0,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_3039728_uploaded_image1_1617557251.jpg)
Cheval,650000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3053064_uploaded_image1_1618156860.jpg)
Chaton,303046.95945945947,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3054622_uploaded_image1_1618231466.jpg)
Couple perruche arc en ciel,40000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3092218_uploaded_image1_1619966133.jpg)
Trio dindes d’amérique,65000.0,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3092550_uploaded_image1_1619979240.jpg)
Vache,300000.0,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3095614_uploaded_image1_1620093462.jpg)
Couple perruches ondulées,100000.0,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3116528_uploaded_image1_1621091686.jpg)
Oiseaux exotiques,303046.95945945947,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3119376_uploaded_image1_1621259652.jpg)
Couple colvert,30000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3127244_uploaded_image1_1621622446.jpg)
Oie géant,85000.0,"Mbour, Sénégal",https://images.coinafrique.com/thumb_3133835_uploaded_image1_1621994387.jpg)
Boeuf,800000.0,"Bambey, Sénégal",https://images.coinafrique.com/thumb_3140204_uploaded_image1_1622308324.jpg)
Poisson vivant,303046.95945945947,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3140939_uploaded_image1_1622373784.jpg)
Rat,303046.95945945947,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3156125_uploaded_image1_1622977662.jpg)
Paonneau,303046.95945945947,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_3164991_uploaded_image1_1623339895.jpg)
Dinde,303046.95945945947,"Touba, Sénégal",https://images.coinafrique.com/thumb_3165522_uploaded_image1_1623360382.jpg)
Couple dinde,303046.95945945947,"Touba, Sénégal",https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg)
Cheval,450000.0,"Pikine, Sénégal",https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg)
Oies,60000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3172011_uploaded_image1_1623695650.jpg)
Perruches ondulées,20000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3215371_uploaded_image1_1625676061.jpg)
Chatons 2 et 3 mois,303046.95945945947,"Grand Dakar, Dakar, Sénégal",https://images.coinafrique.com/thumb_3222114_uploaded_image1_1626003610.jpg)
Perruche ondulée,15000.0,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_3243586_uploaded_image1_1627157324.jpg)
Bœufs,740000.0,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_3253864_uploaded_image1_1627751756.jpg)
