web-scraper-order,web-scraper-start-url,chien_selector,chien_selector-href,nom,prix,image,adresse
"1739036912-1","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitt-bull-red-nose-femelle-742530","Pitt Bull red nose femelle","Prix sur demande","background-image: url(""https://images.coinafrique.com/742530_uploaded_image1_1563025513.69.png""); width: 661px;","Dakar, Sénégal"
"1739036921-2","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-pitbull-742716","Chiots Pitbull","250 000 CFA","background-image: url(""https://images.coinafrique.com/742716_uploaded_image3_1563030467.78.png""); width: 525px;","Grand Yoff, Dakar, Sénégal"
"1739036930-3","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-bichon-751558","Caniche bichon","200 000 CFA","background-image: url(""https://images.coinafrique.com/751558_uploaded_image2_1563309112.52.png""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739036940-4","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-boerboel-751964","Chiot Boerboel","450 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_751964_uploaded_image1_1563320930.56.png""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739036948-5","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-red-nose-778978","Pitbull Red Nose","220 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739036957-6","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/caniche-bichons-maltais-788455","Caniche bichons maltais","190 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739036966-7","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chien-berger-allemand-a-poil-long-848994","Chien berger allemand à poil long","200 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png""); width: 449px;","Hann Bel-Air, Dakar, Sénégal"
"1739036978-8","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiots-cane-corso-891450","Chiots Cane Corso","Prix sur demande","background-image: url(""https://images.coinafrique.com/891450_uploaded_image2_1567127976.09.png""); width: 383px;","Dakar, Sénégal"
"1739036987-9","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/pitbull-black-nose-900600","Pitbull black nose","250 000 CFA","background-image: url(""https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png""); width: 429px;","Mermoz-Sacré Coeur, Dakar, Sénégal"
"1739036996-10","https://sn.coinafrique.com/categorie/chiens?page=10","favorite_border5années","https://sn.coinafrique.com/annonce/chiens/chiot-cane-corso-956906","Chiot Cane Corso","800 000 CFA","background-image: url(""https://images.coinafrique.com/956906_uploaded_image2_1568758075.99.png""); width: 488px;","Fann, Dakar, Sénégal"
