nom,prix,image,adresse
Pitt Bull red nose femelle,171998628018409.84,https://images.coinafrique.com/742530_uploaded_image1_1563025513.69.png,"Dakar, Sénégal"
Chiots Pitbull,250000.0,https://images.coinafrique.com/742716_uploaded_image3_1563030467.78.png,"Grand Yoff, Dakar, Sénégal"
Caniche bichon,200000.0,https://images.coinafrique.com/751558_uploaded_image2_1563309112.52.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiot Boerboel,450000.0,https://images.coinafrique.com/thumb_751964_uploaded_image1_1563320930.56.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Pitbull Red Nose,220000.0,https://images.coinafrique.com/thumb_778978_uploaded_image1_1564025139.31.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Caniche bichons maltais,190000.0,https://images.coinafrique.com/thumb_788455_uploaded_image1_1564267086.61.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chien berger allemand à poil long,200000.0,https://images.coinafrique.com/thumb_848994_uploaded_image1_1566053635.51.png,"Hann Bel-Air, Dakar, Sénégal"
Chiots Cane Corso,171998628018409.84,https://images.coinafrique.com/891450_uploaded_image2_1567127976.09.png,"Dakar, Sénégal"
Pitbull black nose,250000.0,https://images.coinafrique.com/thumb_900600_uploaded_image1_1567424429.78.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiot Cane Corso,800000.0,https://images.coinafrique.com/956906_uploaded_image2_1568758075.99.png,"Fann, Dakar, Sénégal"
Boerboel femelle,400000.0,https://images.coinafrique.com/989796_uploaded_image1_1569465977.94.png,"Mermoz-Sacré Coeur, Dakar, Sénégal"
Chiots,350000.0,https://images.coinafrique.com/1000525_uploaded_image2_1569688531.37.png,"Les Parcelles Assainies, Dakar, Sénégal"
Chiot akita américain,171998628018409.84,https://images.coinafrique.com/1106542_uploaded_image2_1571934153.51.png,"Fann, Dakar, Sénégal"
Chiot berger allemand,200000.0,https://images.coinafrique.com/1115802_uploaded_image2_1572126146.66.png,"Patte d'oie, Dakar, Sénégal"
Chien Rottweiler,375000.0,https://images.coinafrique.com/1122493_uploaded_image2_1572275963.47.png,"Dieuppeul-Derklé, Dakar, Sénégal"
Chiots Berger Allemand,350000.0,https://images.coinafrique.com/1123229_uploaded_image2_1572285379.45.png,"Parcelle Assainies, Dakar, Sénégal"
Pitbull,90000.0,https://images.coinafrique.com/thumb_1139092_uploaded_image1_1572580780.65.png,"Dakar Plateau, Dakar, Sénégal"
Chiots Berger Allemand de race pure,125000.0,https://images.coinafrique.com/1148739_uploaded_image2_1572796180.58.png,"Grand Yoff, Dakar, Sénégal"
Berger blanc,200000.0,https://images.coinafrique.com/1163882_uploaded_image1_1577060329.24.png,"Thies, Sénégal"
Bichons malté,180000.0,https://images.coinafrique.com/1176190_uploaded_image2_1573296965.03.png,"Cambérène, Dakar, Sénégal"
Bergers - labrador - pitbull - rottweiler,171998628018409.84,https://images.coinafrique.com/1184876_uploaded_image2_1573492032.86.png,"Sicap Liberté, Dakar, Sénégal"
Bichon maltais,170000.0,https://images.coinafrique.com/1208713_uploaded_image1_1573923517.79.png,"Dakar, Sénégal"
Chiots Cane Corso,500000.0,https://images.coinafrique.com/1279844_uploaded_image2_1575227437.71.png,"Dakar, Sénégal"
Chien Pitbull,150000.0,https://images.coinafrique.com/1339794_uploaded_image2_1576322961.73.png,"Dieuppeul-Derklé, Dakar, Sénégal"
Chiots Shih-Tzu,250000.0,https://images.coinafrique.com/1381280_uploaded_image2_1577118817.92.png,"Point E, Dakar, Sénégal"
Chiot Berger Allemand,350000.0,https://images.coinafrique.com/1387279_uploaded_image1_1577244796.5.png,"Parcelle Assainies, Dakar, Sénégal"
Chiots Dalmatiens,450000.0,https://images.coinafrique.com/1396092_uploaded_image2_1577444314.03.png,"Fann, Dakar, Sénégal"
Bebé Lhasa Apso,171998628018409.84,https://images.coinafrique.com/1426072_uploaded_image1_1578142225.59.png,"Mbour, Sénégal"
Chiots Chowchow,990000.0,https://images.coinafrique.com/1444195_uploaded_image2_1578452520.28.png,"Fann, Dakar, Sénégal"
