nom,prix,adresse,image
Lapins et lapereaux Angora Californien,78813.69885433716,"Medina, Dakar, Sénégal",https://images.coinafrique.com/729692_uploaded_image2_1562719155.08.png
Lapins et lapereaux angora Californien,78813.69885433716,"Médina, Dakar, Sénégal",https://images.coinafrique.com/729715_uploaded_image2_1562719495.29.png
Lapin géant,70000.0,"Mbour, Sénégal",https://images.coinafrique.com/761183_uploaded_image1_1563536095.25.png
Lapins,40000.0,"Dakar, Sénégal",https://images.coinafrique.com/774940_uploaded_image2_1563940703.64.png
Poulet de chair,2000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/798654_uploaded_image3_1564576618.09.png
Coqs Brahmane,5000.0,"Thies Ouest, Thiès, Sénégal",https://images.coinafrique.com/841858_uploaded_image2_1565838065.0.png
Coq et poussins bleus,15000.0,Sénégal,https://images.coinafrique.com/855420_uploaded_image1_1566249496.28.png
Femelle GDF 4 mois,70000.0,"Médina, Dakar, Sénégal",https://images.coinafrique.com/862099_uploaded_image1_1566396428.28.png
Poulet de chair,2500.0,"Dakar, Sénégal",https://images.coinafrique.com/885789_uploaded_image2_1566997710.36.png
Coqs et poussins,800.0,Sénégal,https://images.coinafrique.com/886578_uploaded_image1_1567011857.49.png
Poulet de chair,2500.0,Sénégal,https://images.coinafrique.com/886584_uploaded_image2_1567011994.36.png
Poussins bantam,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/899477_uploaded_image2_1567385912.28.png
Barahmane,15000.0,"Dakar, Sénégal",https://images.coinafrique.com/899487_uploaded_image1_1567386142.96.png
Poulet de chair,78813.69885433716,"Pikine, Sénégal",https://images.coinafrique.com/908730_uploaded_image1_1567603082.63.png
Poulet - Pigeon  - Lapin,78813.69885433716,Sénégal,https://images.coinafrique.com/944363_uploaded_image2_1568471599.61.png
Paons Pigeons,30000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/968953_uploaded_image1_1569008082.81.png
Poules,7000.0,Sénégal,https://images.coinafrique.com/977534_uploaded_image2_1569239272.74.png
Lapins angora californien,11000.0,"Médina, Dakar, Sénégal",https://images.coinafrique.com/993655_uploaded_image1_1569535990.77.png
Brahmane poules,35000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/1006369_uploaded_image2_1569853974.66.png
Bleus d'hollande,15000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/1006380_uploaded_image2_1569854064.42.png
Pigeon voyageur,25000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/1006413_uploaded_image1_1569854645.39.png
Lapin angora californien,15000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1014679_uploaded_image1_1570023780.43.png
Lapin géant,45000.0,"Yoff, Dakar, Sénégal",https://images.coinafrique.com/1023073_uploaded_image2_1570188340.15.png
Perroquet,75000.0,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/1040990_uploaded_image1_1570583700.42.png
Pigeon links,78813.69885433716,"Diourbel, Sénégal",https://images.coinafrique.com/1091921_uploaded_image1_1571681099.26.png
Couple pigeons cravatés français,50000.0,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/1112720_uploaded_image1_1572054298.36.png
Bleu hollandais,25000.0,Sénégal,https://images.coinafrique.com/1115010_uploaded_image1_1572106167.81.png
Pigeons,78813.69885433716,"Fatick, Sénégal",https://images.coinafrique.com/1137405_uploaded_image2_1572537461.89.png
Poulets Guinars tiirr,78813.69885433716,"Patte d'oie, Dakar, Sénégal",https://images.coinafrique.com/1146827_uploaded_image2_1572746441.92.png
Lawar,30000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1148681_uploaded_image1_1572794832.68.png
Poussin - 1 jour,78813.69885433716,Sénégal,https://images.coinafrique.com/1159518_uploaded_image1_1572985208.46.png
Jeune femelle  lavande,20000.0,"Les Parcelles Assainies, Dakar, Sénégal",https://images.coinafrique.com/1204935_uploaded_image1_1573840898.61.png
Pigeon à queue de paon indien,20000.0,"Dakar, Sénégal",https://images.coinafrique.com/1242200_uploaded_image1_1574510941.51.png
Pigeon fauve,10000.0,"Mermoz-Sacré-Cœur, Dakar, Sénégal",https://images.coinafrique.com/1246480_uploaded_image1_1574613561.29.png
