nom,prix,adresse,image
Bali bali,300000.0,"Koumpentoum, Sénégal",https://images.coinafrique.com/thumb_1568450_uploaded_image1_1580419421.87.png)
Ladoum,2000000.0,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_1569276_uploaded_image1_1580439784.74.png)
Brebis,221024679.5076923,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1584173_uploaded_image2_1580715083.79.png)
Mouton ladoum,700000.0,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_1594060_uploaded_image1_1580838107.76.png)
Moutons,400000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1595649_uploaded_image1_1580860268.71.png)
Femelle ladoum,700000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1599357_uploaded_image1_1580914588.98.png)
Femelle ladoum,700000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1599587_uploaded_image1_1580916817.7.png)
Femelle Ladoum,700000.0,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1599640_uploaded_image1_1580917148.36.png)
Moutons,221024679.5076923,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1618881_uploaded_image1_1581221831.16.png)
Lots  de ladoum,1600000.0,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1634438_uploaded_image1_1581445535.38.png)
Agnel Ladoum,350000.0,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_1644447_uploaded_image1_1581598949.87.png)
Mouton Géniteur,221024679.5076923,"Keur Massar, Sénégal",https://images.coinafrique.com/thumb_1655632_uploaded_image1_1581790027.94.png)
Femelle Baine Mélo,221024679.5076923,"Dakar, Sénégal",https://images.coinafrique.com/thumb_1660551_uploaded_image1_1581908728.72.png)
Métisse Azawat,180000.0,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1689899_uploaded_image1_1582386569.78.png)
Mouton,221024679.5076923,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_1705512_uploaded_image1_1582672344.35.png)
Mouton,221024679.5076923,Sénégal,https://images.coinafrique.com/thumb_1710929_uploaded_image1_1582758028.84.png)
Ladoum pur sang,850000.0,"Dakar-Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_1712699_uploaded_image1_1582797667.2.png)
Mouton,280000.0,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_1788990_uploaded_image1_1584108921.63.png)
